location_id,location_name,province,city
101231001,钓鱼岛,台湾省,宜兰县
101340101,台北,台湾省,台北市
101340102,桃园,台湾省,桃园市
101340103,新竹,台湾省,新竹市
101340104,宜兰市,台湾省,宜兰县
101340201,高雄,台湾省,高雄市
101340202,嘉义市,台湾省,嘉义市
101340203,台南市,台湾省,台南市
101340204,台东市,台湾省,台东县
101340205,屏东市,台湾省,屏东县
101340401,台中市,台湾省,台中市
101340402,苗栗市,台湾省,苗栗县
101340403,彰化市,台湾省,彰化县
101340404,南投市,台湾省,南投县
101340405,花莲市,台湾省,花莲县
1064D,来义乡,台湾省,屏东县
1131A,楠西区,台湾省,台南市
125A0,冬山乡,台湾省,宜兰县
12705,后里区,台湾省,台中市
12AC3,鸟松区,台湾省,高雄市
1353E,林口区,台湾省,新北市
14A62,太平区,台湾省,台中市
14B6,秀林乡,台湾省,花莲县
15F5F,关山镇,台湾省,台东县
15FC8,中正区,台湾省,台北市
16946,中西区,台湾省,台南市
1851B,朴子市,台湾省,嘉义县
1860C,苓雅区,台湾省,高雄市
198CA,峨眉乡,台湾省,新竹县
1A131,莺歌区,台湾省,新北市
1AFB5,丰滨乡,台湾省,花莲县
1BD97,大安区,台湾省,台中市
1C2F9,卑南乡,台湾省,台东县
1C370,清水区,台湾省,台中市
1CB96,三峽区,台湾省,新北市
1D33,茂林区,台湾省,高雄市
1EA6F,高树乡,台湾省,屏东县
1ECA0,九如乡,台湾省,屏东县
1F7E2,仁爱乡,台湾省,南投县
1F906,深坑区,台湾省,新北市
1FCAC,阿莲区,台湾省,高雄市
22E50,乌日区,台湾省,台中市
2008A,东势乡,台湾省,嘉义县
2045E,伸港乡,台湾省,彰化县
215EB,士林区,台湾省,台北市
232B2,龙井区,台湾省,台中市
25B67,五结乡,台湾省,宜兰县
27297,埔心乡,台湾省,彰化县
274A6,大肚区,台湾省,台中市
2787E,田寮区,台湾省,高雄市
2897F,水林乡,台湾省,云林县
28C50,芦竹区,台湾省,桃园市
2A0EA,竹崎乡,台湾省,嘉义县
2A17C,平镇区,台湾省,桃园市
2A7A9,梓官区,台湾省,高雄市
2ADEC,南化区,台湾省,台南市
2B8F1,官田区,台湾省,台南市
2BD74,牡丹乡,台湾省,屏东县
2BF61,土城区,台湾省,新北市
2CA40,暖暖区,台湾省,基隆市
2CEDF,新埔镇,台湾省,新竹县
2DD33,口湖乡,台湾省,云林县
2DF8D,关庙区,台湾省,台南市
2E301,长滨乡,台湾省,台东县
2F677,埤头乡,台湾省,彰化县
300A2,香山区,台湾省,新竹市
30712,仁德区,台湾省,台南市
30EB5,苏澳镇,台湾省,宜兰县
33D54,海端乡,台湾省,台东县
34272,北投区,台湾省,台北市
34B85,阿里山乡,台湾省,嘉义县
3561E,泰安乡,台湾省,苗栗县
35EA,长治乡,台湾省,屏东县
36039,中和区,台湾省,新北市
36375,集集镇,台湾省,南投县
37981,大村乡,台湾省,彰化县
394EA,楠梓区,台湾省,高雄市
3981F,文山区,台湾省,台北市
39A9E,瑞芳区,台湾省,新北市
3A2F4,满州乡,台湾省,屏东县
3A428,安平区,台湾省,台南市
3B30D,大里区,台湾省,台中市
3B81C,中埔乡,台湾省,嘉义县
3BD59,北屯区,台湾省,台中市
3D16B,六脚乡,台湾省,嘉义县
3EC6B,仑背乡,台湾省,云林县
3ED2D,二水乡,台湾省,彰化县
