location_id,location_name,province,city
101060101,长春,吉林省,长春市
101060102,农安,吉林省,长春市
101060103,德惠,吉林省,长春市
101060104,九台,吉林省,长春市
101060105,榆树,吉林省,长春市
101060106,双阳,吉林省,长春市
101060107,二道,吉林省,长春市
101060108,南关,吉林省,长春市
101060109,宽城,吉林省,长春市
101060110,朝阳,吉林省,长春市
101060111,绿园,吉林省,长春市
101060201,吉林,吉林省,吉林市
101060202,舒兰,吉林省,吉林市
101060203,永吉,吉林省,吉林市
101060204,蛟河,吉林省,吉林市
101060205,磐石,吉林省,吉林市
101060206,桦甸,吉林省,吉林市
101060207,昌邑,吉林省,吉林市
101060208,龙潭,吉林省,吉林市
101060209,船营,吉林省,吉林市
101060210,丰满,吉林省,吉林市
101060301,延吉,吉林省,延边朝鲜族自治州
101060302,敦化,吉林省,延边朝鲜族自治州
101060303,安图,吉林省,延边朝鲜族自治州
101060304,汪清,吉林省,延边朝鲜族自治州
101060305,和龙,吉林省,延边朝鲜族自治州
101060306,延边,吉林省,延边朝鲜族自治州
101060307,龙井,吉林省,延边朝鲜族自治州
101060308,珲春,吉林省,延边朝鲜族自治州
101060309,图们,吉林省,延边朝鲜族自治州
101060401,四平,吉林省,四平市
101060402,双辽,吉林省,四平市
101060403,梨树,吉林省,四平市
101060404,公主岭,吉林省,长春市
101060405,伊通,吉林省,四平市
101060406,铁西,吉林省,四平市
101060407,铁东,吉林省,四平市
101060501,通化,吉林省,通化市
101060502,梅河口,吉林省,通化市
101060503,柳河,吉林省,通化市
101060504,辉南,吉林省,通化市
101060505,集安,吉林省,通化市
101060506,通化县,吉林省,通化市
101060507,东昌,吉林省,通化市
101060508,二道江,吉林省,通化市
101060601,白城,吉林省,白城市
101060602,洮南,吉林省,白城市
101060603,大安,吉林省,白城市
101060604,镇赉,吉林省,白城市
101060605,通榆,吉林省,白城市
101060606,洮北,吉林省,白城市
101060701,辽源,吉林省,辽源市
101060702,东丰,吉林省,辽源市
101060703,东辽,吉林省,辽源市
101060704,龙山,吉林省,辽源市
101060705,西安,吉林省,辽源市
101060801,松原,吉林省,松原市
101060802,乾安,吉林省,松原市
101060803,前郭,吉林省,松原市
101060804,长岭,吉林省,松原市
101060805,扶余,吉林省,松原市
101060806,宁江,吉林省,松原市
101060901,白山,吉林省,白山市
101060902,靖宇,吉林省,白山市
101060903,临江,吉林省,白山市
101060905,长白,吉林省,白山市
101060906,抚松,吉林省,白山市
101060907,江源,吉林省,白山市
101060908,浑江,吉林省,白山市
