location_id,location_name,province,city
101170101,银川,宁夏回族自治区,银川市
101170102,永宁,宁夏回族自治区,银川市
101170103,灵武,宁夏回族自治区,银川市
101170104,贺兰,宁夏回族自治区,银川市
101170105,兴庆,宁夏回族自治区,银川市
101170106,西夏,宁夏回族自治区,银川市
101170107,金凤,宁夏回族自治区,银川市
101170201,石嘴山,宁夏回族自治区,石嘴山市
101170202,惠农,宁夏回族自治区,石嘴山市
101170203,平罗,宁夏回族自治区,石嘴山市
101170205,大武口,宁夏回族自治区,石嘴山市
101170301,吴忠,宁夏回族自治区,吴忠市
101170302,同心,宁夏回族自治区,吴忠市
101170303,盐池,宁夏回族自治区,吴忠市
101170304,利通,宁夏回族自治区,吴忠市
101170305,红寺堡,宁夏回族自治区,吴忠市
101170306,青铜峡,宁夏回族自治区,吴忠市
101170401,固原,宁夏回族自治区,固原市
101170402,西吉,宁夏回族自治区,固原市
101170403,隆德,宁夏回族自治区,固原市
101170404,泾源,宁夏回族自治区,固原市
101170405,原州,宁夏回族自治区,固原市
101170406,彭阳,宁夏回族自治区,固原市
101170501,中卫,宁夏回族自治区,中卫市
101170502,中宁,宁夏回族自治区,中卫市
101170503,沙坡头,宁夏回族自治区,中卫市
101170504,海原,宁夏回族自治区,中卫市
