location_id,location_name,province,city
101220101,合肥,安徽省,合肥市
101220102,长丰,安徽省,合肥市
101220103,肥东,安徽省,合肥市
101220104,肥西,安徽省,合肥市
101220105,巢湖,安徽省,合肥市
101220106,庐江,安徽省,合肥市
101220107,瑶海,安徽省,合肥市
101220108,庐阳,安徽省,合肥市
101220109,蜀山,安徽省,合肥市
101220110,包河,安徽省,合肥市
101220201,蚌埠,安徽省,蚌埠市
101220202,怀远,安徽省,蚌埠市
101220203,固镇,安徽省,蚌埠市
101220204,五河,安徽省,蚌埠市
101220205,龙子湖,安徽省,蚌埠市
101220206,蚌山,安徽省,蚌埠市
101220207,禹会,安徽省,蚌埠市
101220208,淮上,安徽省,蚌埠市
101220301,芜湖,安徽省,芜湖市
101220302,繁昌,安徽省,芜湖市
101220303,湾沚,安徽省,芜湖市
101220304,南陵,安徽省,芜湖市
101220305,无为,安徽省,芜湖市
101220306,镜湖,安徽省,芜湖市
101220307,弋江,安徽省,芜湖市
101220308,鸠江,安徽省,芜湖市
101220401,淮南,安徽省,淮南市
101220402,凤台,安徽省,淮南市
101220403,潘集,安徽省,淮南市
101220404,大通,安徽省,淮南市
101220405,田家庵,安徽省,淮南市
101220406,谢家集,安徽省,淮南市
101220407,八公山,安徽省,淮南市
101220408,寿县,安徽省,淮南市
101220501,马鞍山,安徽省,马鞍山市
101220502,当涂,安徽省,马鞍山市
101220503,含山,安徽省,马鞍山市
101220504,和县,安徽省,马鞍山市
101220505,花山,安徽省,马鞍山市
101220506,雨山,安徽省,马鞍山市
101220507,博望,安徽省,马鞍山市
101220601,安庆,安徽省,安庆市
101220603,太湖,安徽省,安庆市
101220604,潜山,安徽省,安庆市
101220605,怀宁,安徽省,安庆市
101220606,宿松,安徽省,安庆市
101220607,望江,安徽省,安庆市
101220608,岳西,安徽省,安庆市
101220609,桐城,安徽省,安庆市
101220610,迎江,安徽省,安庆市
101220611,大观,安徽省,安庆市
101220612,宜秀,安徽省,安庆市
101220701,宿州,安徽省,宿州市
101220702,砀山,安徽省,宿州市
101220703,灵璧,安徽省,宿州市
101220704,泗县,安徽省,宿州市
101220705,萧县,安徽省,宿州市
101220706,埇桥,安徽省,宿州市
101220801,阜阳,安徽省,阜阳市
101220802,阜南,安徽省,阜阳市
101220803,颍上,安徽省,阜阳市
101220804,临泉,安徽省,阜阳市
101220805,界首,安徽省,阜阳市
101220806,太和,安徽省,阜阳市
101220807,颍州,安徽省,阜阳市
101220808,颍东,安徽省,阜阳市
101220809,颍泉,安徽省,阜阳市
101220901,亳州,安徽省,亳州市
101220902,涡阳,安徽省,亳州市
101220903,利辛,安徽省,亳州市
101220904,蒙城,安徽省,亳州市
101220905,谯城,安徽省,亳州市
101221001,黄山,安徽省,黄山市
101221002,黄山区,安徽省,黄山市
101221003,屯溪,安徽省,黄山市
101221004,祁门,安徽省,黄山市
101221005,黟县,安徽省,黄山市
101221006,歙县,安徽省,黄山市
101221007,休宁,安徽省,黄山市
101221009,徽州,安徽省,黄山市
101221101,滁州,安徽省,滁州市
101221102,凤阳,安徽省,滁州市
101221103,明光,安徽省,滁州市
101221104,定远,安徽省,滁州市
101221105,全椒,安徽省,滁州市
101221106,来安,安徽省,滁州市
101221107,天长,安徽省,滁州市
101221108,琅琊,安徽省,滁州市
101221109,南谯,安徽省,滁州市
101221201,淮北,安徽省,淮北市
101221202,濉溪,安徽省,淮北市
101221203,杜集,安徽省,淮北市
101221204,相山,安徽省,淮北市
101221205,烈山,安徽省,淮北市
101221301,铜陵,安徽省,铜陵市
101221302,铜官,安徽省,铜陵市
101221303,义安,安徽省,铜陵市
101221304,郊区,安徽省,铜陵市
101221305,枞阳,安徽省,铜陵市
101221401,宣城,安徽省,宣城市
101221402,泾县,安徽省,宣城市
101221403,旌德,安徽省,宣城市
101221404,宁国,安徽省,宣城市
101221405,绩溪,安徽省,宣城市
101221406,广德,安徽省,宣城市
101221407,郎溪,安徽省,宣城市
101221408,宣州,安徽省,宣城市
101221501,六安,安徽省,六安市
101221502,霍邱,安徽省,六安市
101221504,金安,安徽省,六安市
101221505,金寨,安徽省,六安市
101221506,霍山,安徽省,六安市
101221507,舒城,安徽省,六安市
101221508,裕安,安徽省,六安市
101221509,叶集,安徽省,六安市
101221701,池州,安徽省,池州市
101221702,东至,安徽省,池州市
101221703,青阳,安徽省,池州市
101221705,石台,安徽省,池州市
101221706,贵池,安徽省,池州市
