location_id,location_name,province,city
101100101,太原,山西省,太原市
101100102,清徐,山西省,太原市
101100103,阳曲,山西省,太原市
101100104,娄烦,山西省,太原市
101100105,古交,山西省,太原市
101100106,尖草坪区,山西省,太原市
101100107,小店区,山西省,太原市
101100108,迎泽,山西省,太原市
101100109,杏花岭,山西省,太原市
101100110,万柏林,山西省,太原市
101100111,晋源,山西省,太原市
101100201,大同,山西省,大同市
101100202,阳高,山西省,大同市
101100203,云州,山西省,大同市
101100204,天镇,山西省,大同市
101100205,广灵,山西省,大同市
101100206,灵丘,山西省,大同市
101100207,浑源,山西省,大同市
101100208,左云,山西省,大同市
101100209,云冈,山西省,大同市
101100211,新荣,山西省,大同市
101100214,平城,山西省,大同市
101100301,阳泉,山西省,阳泉市
101100302,盂县,山西省,阳泉市
101100303,平定,山西省,阳泉市
101100304,矿区,山西省,阳泉市
101100305,郊区,山西省,阳泉市
101100306,城区,山西省,阳泉市
101100401,晋中,山西省,晋中市
101100402,榆次,山西省,晋中市
101100403,榆社,山西省,晋中市
101100404,左权,山西省,晋中市
101100405,和顺,山西省,晋中市
101100406,昔阳,山西省,晋中市
101100407,寿阳,山西省,晋中市
101100408,太谷,山西省,晋中市
101100409,祁县,山西省,晋中市
101100410,平遥,山西省,晋中市
101100411,灵石,山西省,晋中市
101100412,介休,山西省,晋中市
101100501,长治,山西省,长治市
101100502,黎城,山西省,长治市
101100503,屯留,山西省,长治市
101100504,潞城,山西省,长治市
101100505,襄垣,山西省,长治市
101100506,平顺,山西省,长治市
101100507,武乡,山西省,长治市
101100508,沁县,山西省,长治市
101100509,长子,山西省,长治市
101100510,沁源,山西省,长治市
101100511,壶关,山西省,长治市
101100512,潞州,山西省,长治市
101100513,上党,山西省,长治市
101100601,晋城,山西省,晋城市
101100602,沁水,山西省,晋城市
101100603,阳城,山西省,晋城市
101100604,陵川,山西省,晋城市
101100605,高平,山西省,晋城市
101100606,泽州,山西省,晋城市
101100607,城区,山西省,晋城市
101100701,临汾,山西省,临汾市
101100702,曲沃,山西省,临汾市
101100703,永和,山西省,临汾市
101100704,隰县,山西省,临汾市
101100705,大宁,山西省,临汾市
101100706,吉县,山西省,临汾市
101100707,襄汾,山西省,临汾市
101100708,蒲县,山西省,临汾市
101100709,汾西,山西省,临汾市
101100710,洪洞,山西省,临汾市
101100711,霍州,山西省,临汾市
101100712,乡宁,山西省,临汾市
101100713,翼城,山西省,临汾市
101100714,侯马,山西省,临汾市
101100715,浮山,山西省,临汾市
101100716,安泽,山西省,临汾市
101100717,古县,山西省,临汾市
101100718,尧都,山西省,临汾市
101100801,运城,山西省,运城市
101100802,临猗,山西省,运城市
101100803,稷山,山西省,运城市
101100804,万荣,山西省,运城市
101100805,河津,山西省,运城市
101100806,新绛,山西省,运城市
101100807,绛县,山西省,运城市
101100808,闻喜,山西省,运城市
101100809,垣曲,山西省,运城市
101100810,永济,山西省,运城市
101100811,芮城,山西省,运城市
101100812,夏县,山西省,运城市
101100813,平陆,山西省,运城市
101100814,盐湖,山西省,运城市
101100901,朔州,山西省,朔州市
101100902,平鲁,山西省,朔州市
101100903,山阴,山西省,朔州市
101100904,右玉,山西省,朔州市
101100905,应县,山西省,朔州市
101100906,怀仁,山西省,朔州市
101100907,朔城,山西省,朔州市
101101001,忻州,山西省,忻州市
101101002,定襄,山西省,忻州市
101101003,五台县,山西省,忻州市
101101004,河曲,山西省,忻州市
101101005,偏关,山西省,忻州市
101101006,神池,山西省,忻州市
101101007,宁武,山西省,忻州市
101101008,代县,山西省,忻州市
101101009,繁峙,山西省,忻州市
101101011,保德,山西省,忻州市
101101012,静乐,山西省,忻州市
101101013,岢岚,山西省,忻州市
101101014,五寨,山西省,忻州市
101101015,原平,山西省,忻州市
101101016,忻府,山西省,忻州市
101101100,吕梁,山西省,吕梁市
101101101,离石,山西省,吕梁市
101101102,临县,山西省,吕梁市
101101103,兴县,山西省,吕梁市
101101104,岚县,山西省,吕梁市
101101105,柳林,山西省,吕梁市
101101106,石楼,山西省,吕梁市
101101107,方山,山西省,吕梁市
101101108,交口,山西省,吕梁市
101101109,中阳,山西省,吕梁市
101101110,孝义,山西省,吕梁市
101101111,汾阳,山西省,吕梁市
101101112,文水,山西省,吕梁市
101101113,交城,山西省,吕梁市
