location_id,location_name,province,city
101240101,南昌,江西省,南昌市
101240102,新建,江西省,南昌市
101240103,南昌县,江西省,南昌市
101240104,安义,江西省,南昌市
101240105,进贤,江西省,南昌市
101240106,东湖,江西省,南昌市
101240107,西湖,江西省,南昌市
101240108,青云谱,江西省,南昌市
101240109,红谷滩,江西省,南昌市
101240110,青山湖,江西省,南昌市
101240201,九江,江西省,九江市
101240202,瑞昌,江西省,九江市
101240203,庐山,江西省,九江市
101240204,武宁,江西省,九江市
101240205,德安,江西省,九江市
101240206,永修,江西省,九江市
101240207,湖口,江西省,九江市
101240208,彭泽,江西省,九江市
101240210,都昌,江西省,九江市
101240211,浔阳,江西省,九江市
101240212,修水,江西省,九江市
101240213,共青城,江西省,九江市
101240214,濂溪,江西省,九江市
101240215,柴桑,江西省,九江市
101240301,上饶,江西省,上饶市
101240302,鄱阳,江西省,上饶市
101240303,婺源,江西省,上饶市
101240304,信州,江西省,上饶市
101240305,余干,江西省,上饶市
101240306,万年,江西省,上饶市
101240307,德兴,江西省,上饶市
101240308,广信,江西省,上饶市
101240309,弋阳,江西省,上饶市
101240310,横峰,江西省,上饶市
101240311,铅山,江西省,上饶市
101240312,玉山,江西省,上饶市
101240313,广丰,江西省,上饶市
101240401,抚州,江西省,抚州市
101240402,广昌,江西省,抚州市
101240403,乐安,江西省,抚州市
101240404,崇仁,江西省,抚州市
101240405,金溪,江西省,抚州市
101240406,资溪,江西省,抚州市
101240407,宜黄,江西省,抚州市
101240408,南城,江西省,抚州市
101240409,南丰,江西省,抚州市
101240410,黎川,江西省,抚州市
101240411,东乡,江西省,抚州市
101240412,临川,江西省,抚州市
101240501,宜春,江西省,宜春市
101240502,铜鼓,江西省,宜春市
101240503,宜丰,江西省,宜春市
101240504,万载,江西省,宜春市
101240505,上高,江西省,宜春市
101240506,靖安,江西省,宜春市
101240507,奉新,江西省,宜春市
101240508,高安,江西省,宜春市
101240509,樟树,江西省,宜春市
101240510,丰城,江西省,宜春市
101240511,袁州,江西省,宜春市
101240601,吉安,江西省,吉安市
101240602,吉安县,江西省,吉安市
101240603,吉水,江西省,吉安市
101240604,新干,江西省,吉安市
101240605,峡江,江西省,吉安市
101240606,永丰,江西省,吉安市
101240607,永新,江西省,吉安市
101240608,井冈山,江西省,吉安市
101240609,万安,江西省,吉安市
101240610,遂川,江西省,吉安市
101240611,泰和,江西省,吉安市
101240612,安福,江西省,吉安市
101240614,吉州,江西省,吉安市
101240615,青原,江西省,吉安市
101240701,赣州,江西省,赣州市
101240702,崇义,江西省,赣州市
101240703,上犹,江西省,赣州市
101240704,南康,江西省,赣州市
101240705,大余,江西省,赣州市
101240706,信丰,江西省,赣州市
101240707,宁都,江西省,赣州市
101240708,石城,江西省,赣州市
101240709,瑞金,江西省,赣州市
101240710,于都,江西省,赣州市
101240711,会昌,江西省,赣州市
101240712,安远,江西省,赣州市
101240713,全南,江西省,赣州市
101240714,龙南,江西省,赣州市
101240715,定南,江西省,赣州市
101240716,寻乌,江西省,赣州市
101240717,兴国,江西省,赣州市
101240718,赣县,江西省,赣州市
101240719,章贡,江西省,赣州市
101240801,景德镇,江西省,景德镇市
101240802,乐平,江西省,景德镇市
101240803,浮梁,江西省,景德镇市
101240804,昌江,江西省,景德镇市
101240805,珠山,江西省,景德镇市
101240901,萍乡,江西省,萍乡市
101240902,莲花,江西省,萍乡市
101240903,上栗,江西省,萍乡市
101240904,安源,江西省,萍乡市
101240905,芦溪,江西省,萍乡市
101240906,湘东,江西省,萍乡市
101241001,新余,江西省,新余市
101241002,分宜,江西省,新余市
101241003,渝水,江西省,新余市
101241101,鹰潭,江西省,鹰潭市
101241102,余江,江西省,鹰潭市
101241103,贵溪,江西省,鹰潭市
101241104,月湖,江西省,鹰潭市
