location_id,location_name,province,city
101090101,石家庄,河北省,石家庄市
101090102,井陉,河北省,石家庄市
101090103,正定,河北省,石家庄市
101090104,栾城,河北省,石家庄市
101090105,行唐,河北省,石家庄市
101090106,灵寿,河北省,石家庄市
101090107,高邑,河北省,石家庄市
101090108,深泽,河北省,石家庄市
101090109,赞皇,河北省,石家庄市
101090110,无极,河北省,石家庄市
101090111,平山,河北省,石家庄市
101090112,元氏,河北省,石家庄市
101090113,赵县,河北省,石家庄市
101090114,辛集,河北省,石家庄市
101090115,藁城,河北省,石家庄市
101090116,晋州,河北省,石家庄市
101090117,新乐,河北省,石家庄市
101090118,鹿泉,河北省,石家庄市
101090119,长安,河北省,石家庄市
101090120,桥西,河北省,石家庄市
101090121,新华,河北省,石家庄市
101090122,井陉矿区,河北省,石家庄市
101090123,裕华,河北省,石家庄市
101090201,保定,河北省,保定市
101090202,满城,河北省,保定市
101090203,阜平,河北省,保定市
101090204,徐水,河北省,保定市
101090205,唐县,河北省,保定市
101090206,高阳,河北省,保定市
101090208,竞秀,河北省,保定市
101090209,涞源,河北省,保定市
101090210,望都,河北省,保定市
101090212,易县,河北省,保定市
101090213,莲池,河北省,保定市
101090214,曲阳,河北省,保定市
101090215,蠡县,河北省,保定市
101090216,顺平,河北省,保定市
101090218,涿州,河北省,保定市
101090219,定州,河北省,保定市
101090220,安国,河北省,保定市
101090221,高碑店,河北省,保定市
101090222,涞水,河北省,保定市
101090223,定兴,河北省,保定市
101090224,清苑,河北省,保定市
101090225,博野,河北省,保定市
101090301,张家口,河北省,张家口市
101090302,宣化,河北省,张家口市
101090303,张北,河北省,张家口市
101090304,康保,河北省,张家口市
101090305,沽源,河北省,张家口市
101090306,尚义,河北省,张家口市
101090307,蔚县,河北省,张家口市
101090308,阳原,河北省,张家口市
101090309,怀安,河北省,张家口市
101090310,万全,河北省,张家口市
101090311,怀来,河北省,张家口市
101090312,涿鹿,河北省,张家口市
101090313,赤城,河北省,张家口市
101090314,崇礼,河北省,张家口市
101090315,桥东,河北省,张家口市
101090316,桥西,河北省,张家口市
101090317,下花园,河北省,张家口市
101090401,双桥,河北省,承德市
101090402,承德,河北省,承德市
101090403,承德县,河北省,承德市
