location_id,location_name,province,city
101310101,海口,海南省,海口市
101310102,秀英,海南省,海口市
101310103,龙华,海南省,海口市
101310104,琼山,海南省,海口市
101310105,美兰,海南省,海口市
101310201,三亚,海南省,三亚市
101310202,东方,海南省,东方市
101310203,临高,海南省,临高县
101310204,澄迈,海南省,澄迈县
101310205,儋州,海南省,儋州市
101310206,昌江,海南省,昌江黎族自治县
101310207,白沙,海南省,白沙黎族自治县
101310208,琼中,海南省,琼中黎族苗族自治县
101310209,定安,海南省,定安县
101310210,屯昌,海南省,屯昌县
101310211,琼海,海南省,琼海市
101310212,文昌,海南省,文昌市
101310213,海棠,海南省,三亚市
101310214,保亭,海南省,保亭黎族苗族自治县
101310215,万宁,海南省,万宁市
101310216,陵水,海南省,陵水黎族自治县
101310218,吉阳,海南省,三亚市
101310219,天涯,海南省,三亚市
101310221,乐东,海南省,乐东黎族自治县
101310222,五指山,海南省,五指山市
101310223,崖州,海南省,三亚市
101310301,三沙,海南省,三沙市
101310302,西沙,海南省,三沙市
101310304,南沙,海南省,三沙市
