location_id,location_name,province,city
101250101,长沙,湖南省,长沙市
101250102,宁乡,湖南省,长沙市
101250103,浏阳,湖南省,长沙市
101250105,望城,湖南省,长沙市
101250106,长沙县,湖南省,长沙市
101250107,芙蓉,湖南省,长沙市
101250108,天心,湖南省,长沙市
101250109,岳麓,湖南省,长沙市
101250110,开福,湖南省,长沙市
101250111,雨花,湖南省,长沙市
101250201,湘潭,湖南省,湘潭市
101250202,韶山,湖南省,湘潭市
101250203,湘乡,湖南省,湘潭市
101250204,雨湖,湖南省,湘潭市
101250205,岳塘,湖南省,湘潭市
101250206,湘潭县,湖南省,湘潭市
101250301,株洲,湖南省,株洲市
101250302,攸县,湖南省,株洲市
101250303,醴陵,湖南省,株洲市
101250304,荷塘,湖南省,株洲市
101250305,茶陵,湖南省,株洲市
101250306,炎陵,湖南省,株洲市
101250307,芦淞,湖南省,株洲市
101250308,石峰,湖南省,株洲市
101250309,天元,湖南省,株洲市
101250310,渌口,湖南省,株洲市
101250401,衡阳,湖南省,衡阳市
101250402,衡山,湖南省,衡阳市
101250403,衡东,湖南省,衡阳市
101250404,祁东,湖南省,衡阳市
101250405,衡阳县,湖南省,衡阳市
101250406,常宁,湖南省,衡阳市
101250407,衡南,湖南省,衡阳市
101250408,耒阳,湖南省,衡阳市
101250409,南岳,湖南省,衡阳市
101250410,珠晖,湖南省,衡阳市
101250411,雁峰,湖南省,衡阳市
101250412,石鼓,湖南省,衡阳市
101250413,蒸湘,湖南省,衡阳市
101250501,郴州,湖南省,郴州市
101250502,桂阳,湖南省,郴州市
101250503,嘉禾,湖南省,郴州市
101250504,宜章,湖南省,郴州市
101250505,临武,湖南省,郴州市
101250506,北湖,湖南省,郴州市
101250507,资兴,湖南省,郴州市
101250508,汝城,湖南省,郴州市
101250509,安仁,湖南省,郴州市
101250510,永兴,湖南省,郴州市
101250511,桂东,湖南省,郴州市
101250512,苏仙,湖南省,郴州市
101250601,常德,湖南省,常德市
101250602,安乡,湖南省,常德市
101250603,桃源,湖南省,常德市
101250604,汉寿,湖南省,常德市
101250605,澧县,湖南省,常德市
101250606,临澧,湖南省,常德市
101250607,石门,湖南省,常德市
101250608,津市,湖南省,常德市
101250609,武陵,湖南省,常德市
101250610,鼎城,湖南省,常德市
101250700,益阳,湖南省,益阳市
101250701,赫山区,湖南省,益阳市
101250702,南县,湖南省,益阳市
101250703,桃江,湖南省,益阳市
101250704,安化,湖南省,益阳市
101250705,沅江,湖南省,益阳市
101250706,资阳,湖南省,益阳市
101250801,娄底,湖南省,娄底市
101250802,双峰,湖南省,娄底市
101250803,冷水江,湖南省,娄底市
101250804,娄星,湖南省,娄底市
101250805,新化,湖南省,娄底市
101250806,涟源,湖南省,娄底市
101250901,邵阳,湖南省,邵阳市
101250902,隆回,湖南省,邵阳市
101250903,洞口,湖南省,邵阳市
101250904,新邵,湖南省,邵阳市
101250905,邵东,湖南省,邵阳市
101250906,绥宁,湖南省,邵阳市
101250907,新宁,湖南省,邵阳市
101250908,武冈,湖南省,邵阳市
101250909,城步,湖南省,邵阳市
101250910,邵阳县,湖南省,邵阳市
101250911,双清,湖南省,邵阳市
101250912,大祥,湖南省,邵阳市
101250913,北塔,湖南省,邵阳市
101251001,岳阳,湖南省,岳阳市
101251002,华容,湖南省,岳阳市
101251003,湘阴,湖南省,岳阳市
101251004,汨罗,湖南省,岳阳市
101251005,平江,湖南省,岳阳市
101251006,临湘,湖南省,岳阳市
101251007,岳阳楼区,湖南省,岳阳市
101251008,云溪,湖南省,岳阳市
101251009,君山,湖南省,岳阳市
101251010,岳阳县,湖南省,岳阳市
101251101,张家界,湖南省,张家界市
101251102,桑植,湖南省,张家界市
101251103,慈利,湖南省,张家界市
101251104,武陵源,湖南省,张家界市
101251105,永定,湖南省,张家界市
101251201,怀化,湖南省,怀化市
101251202,鹤城,湖南省,怀化市
101251203,沅陵,湖南省,怀化市
101251204,辰溪,湖南省,怀化市
101251205,靖州,湖南省,怀化市
101251206,会同,湖南省,怀化市
101251207,通道,湖南省,怀化市
101251208,麻阳,湖南省,怀化市
101251209,新晃,湖南省,怀化市
101251210,芷江,湖南省,怀化市
101251211,溆浦,湖南省,怀化市
101251212,中方,湖南省,怀化市
101251213,洪江,湖南省,怀化市
101251401,永州,湖南省,永州市
101251402,祁阳,湖南省,永州市
101251403,东安,湖南省,永州市
101251404,双牌,湖南省,永州市
101251405,道县,湖南省,永州市
101251406,宁远,湖南省,永州市
101251407,江永,湖南省,永州市
101251408,蓝山,湖南省,永州市
101251409,新田,湖南省,永州市
101251410,江华,湖南省,永州市
101251411,冷水滩,湖南省,永州市
101251412,零陵,湖南省,永州市
101251501,吉首,湖南省,湘西土家族苗族自治州
101251502,保靖,湖南省,湘西土家族苗族自治州
101251503,永顺,湖南省,湘西土家族苗族自治州
101251504,古丈,湖南省,湘西土家族苗族自治州
101251505,凤凰,湖南省,湘西土家族苗族自治州
101251506,泸溪,湖南省,湘西土家族苗族自治州
101251507,龙山,湖南省,湘西土家族苗族自治州
101251508,花垣,湖南省,湘西土家族苗族自治州
101251509,湘西,湖南省,湘西土家族苗族自治州
