location_id,location_name,province,city
101160101,兰州,甘肃省,兰州市
101160102,皋兰,甘肃省,兰州市
101160103,永登,甘肃省,兰州市
101160104,榆中,甘肃省,兰州市
101160105,城关,甘肃省,兰州市
101160106,七里河,甘肃省,兰州市
101160107,西固,甘肃省,兰州市
101160108,安宁,甘肃省,兰州市
101160109,红古,甘肃省,兰州市
101160201,定西,甘肃省,定西市
101160202,通渭,甘肃省,定西市
101160203,陇西,甘肃省,定西市
101160204,渭源,甘肃省,定西市
101160205,临洮,甘肃省,定西市
101160206,漳县,甘肃省,定西市
101160207,岷县,甘肃省,定西市
101160208,安定,甘肃省,定西市
101160301,平凉,甘肃省,平凉市
101160302,泾川,甘肃省,平凉市
101160303,灵台,甘肃省,平凉市
101160304,崇信,甘肃省,平凉市
101160305,华亭,甘肃省,平凉市
101160306,庄浪,甘肃省,平凉市
101160307,静宁,甘肃省,平凉市
101160308,崆峒,甘肃省,平凉市
101160401,庆阳,甘肃省,庆阳市
101160402,西峰,甘肃省,庆阳市
101160403,环县,甘肃省,庆阳市
101160404,华池,甘肃省,庆阳市
101160405,合水,甘肃省,庆阳市
101160406,正宁,甘肃省,庆阳市
101160407,宁县,甘肃省,庆阳市
101160408,镇原,甘肃省,庆阳市
101160409,庆城,甘肃省,庆阳市
101160501,武威,甘肃省,武威市
101160502,民勤,甘肃省,武威市
101160503,古浪,甘肃省,武威市
101160504,凉州,甘肃省,武威市
101160505,天祝,甘肃省,武威市
101160601,金昌,甘肃省,金昌市
101160602,永昌,甘肃省,金昌市
101160603,金川,甘肃省,金昌市
101160701,张掖,甘肃省,张掖市
101160702,肃南,甘肃省,张掖市
101160703,民乐,甘肃省,张掖市
101160704,临泽,甘肃省,张掖市
101160705,高台,甘肃省,张掖市
101160706,山丹,甘肃省,张掖市
101160707,甘州,甘肃省,张掖市
101160801,酒泉,甘肃省,酒泉市
101160802,肃州,甘肃省,酒泉市
101160803,金塔,甘肃省,酒泉市
101160804,阿克塞,甘肃省,酒泉市
101160805,瓜州,甘肃省,酒泉市
101160806,肃北,甘肃省,酒泉市
101160807,玉门,甘肃省,酒泉市
101160808,敦煌,甘肃省,酒泉市
101160901,天水,甘肃省,天水市
101160902,秦州,甘肃省,天水市
101160903,清水,甘肃省,天水市
101160904,秦安,甘肃省,天水市
101160905,甘谷,甘肃省,天水市
101160906,武山,甘肃省,天水市
101160907,张家川,甘肃省,天水市
101160908,麦积,甘肃省,天水市
101161001,武都,甘肃省,陇南市
101161002,成县,甘肃省,陇南市
101161003,文县,甘肃省,陇南市
101161004,宕昌,甘肃省,陇南市
101161005,康县,甘肃省,陇南市
101161006,西和,甘肃省,陇南市
101161007,礼县,甘肃省,陇南市
101161008,徽县,甘肃省,陇南市
101161009,两当,甘肃省,陇南市
101161010,陇南,甘肃省,陇南市
101161101,临夏,甘肃省,临夏回族自治州
101161102,康乐,甘肃省,临夏回族自治州
101161103,永靖,甘肃省,临夏回族自治州
101161104,广河,甘肃省,临夏回族自治州
101161105,和政,甘肃省,临夏回族自治州
101161106,东乡,甘肃省,临夏回族自治州
101161107,积石山,甘肃省,临夏回族自治州
101161108,临夏市,甘肃省,临夏回族自治州
101161109,临夏县,甘肃省,临夏回族自治州
101161201,合作,甘肃省,甘南藏族自治州
101161202,临潭,甘肃省,甘南藏族自治州
101161203,卓尼,甘肃省,甘南藏族自治州
101161204,舟曲,甘肃省,甘南藏族自治州
101161205,迭部,甘肃省,甘南藏族自治州
101161206,玛曲,甘肃省,甘南藏族自治州
101161207,碌曲,甘肃省,甘南藏族自治州
101161208,夏河,甘肃省,甘南藏族自治州
101161209,甘南,甘肃省,甘南藏族自治州
101161301,白银,甘肃省,白银市
101161302,靖远,甘肃省,白银市
101161303,会宁,甘肃省,白银市
101161304,平川,甘肃省,白银市
101161305,景泰,甘肃省,白银市
101161306,白银区,甘肃省,白银市
101161401,嘉峪关,甘肃省,嘉峪关市
