location_id,location_name,province,city
101320101,香港,香港特别行政区,香港特别行政区
101320103,新界,香港特别行政区,香港特别行政区
14606,油尖旺,香港特别行政区,香港特别行政区
1B6D3,东区,香港特别行政区,香港特别行政区
1D255,中西区,香港特别行政区,香港特别行政区
1DC87,屯门,香港特别行政区,香港特别行政区
275A5,大埔,香港特别行政区,香港特别行政区
28FE1,深水埗,香港特别行政区,香港特别行政区
2BBD1,九龙城,香港特别行政区,香港特别行政区
2BC09,葵青,香港特别行政区,香港特别行政区
39CD9,元朗,香港特别行政区,香港特别行政区
407DA,湾仔,香港特别行政区,香港特别行政区
4622E,西贡,香港特别行政区,香港特别行政区
55E7E,沙田,香港特别行政区,香港特别行政区
8A9CA,观塘,香港特别行政区,香港特别行政区
8E1C5,北区,香港特别行政区,香港特别行政区
9173,离岛,香港特别行政区,香港特别行政区
D5EC3,黄大仙,香港特别行政区,香港特别行政区
DD9B5,荃湾,香港特别行政区,香港特别行政区
E87DC,南区,香港特别行政区,香港特别行政区
